                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1271,                0.96658,                 1.3253,                 0.8086,                  0.793,                  0.881,                0.55243,                 1.3861,                0.94566,                 1.5467,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1466,                 1.0029,                   1.35,                0.85181,                 0.8125,                0.92485,                0.57686,                 1.3452,                 0.8811,                 1.6925,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0831,                0.96349,                 1.3384,                0.71289,                   0.75,                0.84622,                0.57862,                 1.2282,                 1.0366,                 1.4987,               0.001307,               0.001307,               0.001307
                     38,                0.98322,                0.85031,                 1.2435,                0.73334,                0.86004,                0.85762,                0.63986,                 1.0665,                 1.0834,                 1.3734,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0075,                0.85285,                 1.2714,                0.87373,                   0.75,                 0.8689,                0.66572,                 1.0354,                 1.2063,                 1.3273,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0382,                0.90632,                 1.2802,                0.86901,                0.83009,                0.89387,                0.68521,                 1.1001,                0.92012,                 1.4681,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0327,                0.82395,                 1.3015,                0.82866,                0.90769,                0.90208,                0.66431,                 1.1619,                0.82918,                 1.4837,              0.0012278,              0.0012278,              0.0012278
                     42,                0.99699,                0.86175,                 1.2795,                0.92279,                 0.8125,                0.90908,                0.63937,                 1.1154,                0.79898,                 1.3239,               0.001208,               0.001208,               0.001208
                     43,                 1.0587,                0.83677,                 1.2865,                0.96406,                   0.75,                0.88723,                0.57078,                 1.3718,                0.88915,                 1.5444,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0175,                0.87211,                 1.2522,                      1,                0.77618,                0.94047,                0.69634,                0.97836,                0.95482,                   1.29,              0.0011684,              0.0011684,              0.0011684
                     45,                0.95546,                0.78881,                  1.232,                0.83311,                0.93606,                0.94696,                0.65878,                 1.1282,                0.81886,                 1.4217,              0.0011486,              0.0011486,              0.0011486
                     46,                0.98058,                0.80781,                 1.2328,                0.85432,                  0.875,                0.90311,                0.61121,                 1.1303,                0.80902,                 1.4399,              0.0011288,              0.0011288,              0.0011288
                     47,                0.93928,                0.77443,                 1.1823,                0.92771,                0.80271,                0.89628,                0.59434,                 1.1455,                0.77049,                 1.4245,               0.001109,               0.001109,               0.001109
                     48,                0.99524,                0.84993,                 1.2271,                0.90316,                 0.8125,                0.89841,                0.57871,                 1.1081,                0.85806,                 1.3474,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.003,                0.76753,                 1.1807,                0.93213,                0.85924,                0.91148,                0.60259,                 1.3538,                0.78459,                 1.6318,              0.0010694,              0.0010694,              0.0010694
                     50,                0.94929,                0.82036,                 1.2002,                0.90854,                  0.875,                0.90579,                0.56464,                 1.3796,                0.98115,                 1.6112,              0.0010496,              0.0010496,              0.0010496
                     51,                0.87571,                0.71679,                  1.165,                0.95071,                   0.75,                0.89111,                0.60789,                 1.3432,                0.91181,                 1.6229,              0.0010298,              0.0010298,              0.0010298
                     52,                0.90794,                0.75249,                 1.1696,                0.85715,                 0.8125,                0.86973,                0.60874,                 1.2167,                0.95467,                  1.586,                0.00101,                0.00101,                0.00101
                     53,                0.91798,                 0.7425,                 1.1841,                0.88088,                0.92495,                0.96727,                0.63442,                 1.1052,                0.75585,                 1.3649,              0.0009902,              0.0009902,              0.0009902
                     54,                0.88688,                0.71283,                 1.1954,                0.93704,                0.93067,                0.92316,                0.65342,                 1.0542,                0.68078,                 1.2924,              0.0009704,              0.0009704,              0.0009704
                     55,                0.89911,                0.78453,                 1.1951,                0.87021,                 0.9375,                0.91685,                0.67255,                  1.102,                0.67351,                 1.3297,              0.0009506,              0.0009506,              0.0009506
                     56,                0.96443,                0.74396,                 1.2068,                0.95977,                  0.875,                 0.9261,                 0.6695,                 1.0474,                0.76599,                 1.2875,              0.0009308,              0.0009308,              0.0009308
                     57,                0.90394,                0.76439,                 1.1594,                 0.9514,                  0.875,                0.92391,                0.71056,                 1.1194,                0.75188,                 1.3859,               0.000911,               0.000911,               0.000911
